id,price,name
543275,7437.00,"SSD накопитель KINGSTON 2.5"" 960GB SATA DC600M (SEDC600M/960G)"
559220,9299.00,Портативный SSD Samsung 2TB USB 3.2 Gen 2 Type-C Shield T7 Blue (MU-PE2T0R/EU)
559221,6599.00,Портативный SSD Samsung 2TB T5 EVO USB-C 3.0 Shield T5 Black (MU-PH2T0S/EU)
559222,18740.00,Портативный SSD Samsung 4TB T5 EVO USB-C 3.0 Shield T5 Black (MU-PH4T0S/EU)
559223,28670.00,Портативный SSD Samsung 8TB T5 EVO USB-C 3.0 Shield T5 Black (MU-PH8T0S/EU)
559224,6710.00,Портативный SSD Samsung 1TB USB 3.2 Gen 2 Type-C T9 Black (MU-PG1T0B/EU)
571426,16286.00,SSD накопитель Samsung M.2 4TB PCIe 4.0 990PRO+радиатор
610833,15396.00,SSD накопитель SAMSUNG M.2 4TB PCIe 4.0 990PRO (MZ-V9P4T0BW)
617880,17800.00,Портативный SSD Samsung 4TB USB 3.2 Gen 2 Type-C T7 Shield
513803,14149.00,SSD накопитель Kingston M.2 NVMe PCIe 4.0 4x 4TB Fury Renegade 2280 (SFYRD/4000G)
504646,4449.00,SSD накопитель M.2 Kingston 1TB Fury Renegade NVMe PCIe 4.0 4x 2280 (SFYRS/1000G)
523879,12328.00,SSD накопитель HPE SSD 480GB 2.5inch SATA RI BC MV (P40497-B21)
585382,1592.00,SSD накопитель Apacer M.2 512GB PCIe 3.0 P4X (AP512GAS2280P4X-1)
597429,8849.00,SSD Накопитель Kingston M.2 960GB PCIe 4.0 DC2000B (SEDC2000BM8/960G)
647832,26674.00,SSD накопитель Kingston M.2 4TB PCIe 5.0 FURY Renegade (SFYR2S/4T0)
502518,2478.00,"SSD накопитель Apacer SATA 2.5"" 1TB AS350X TLC (AP1TBAS350XR-1)"
502521,1370.00,"SSD накопитель Apacer SATA 2.5"" 512GB AS350X TLC (AP512GAS350XR-1)"
528144,14889.00,Накопитель SSD Kingston M.2 4TB PCIe 4.0 Fury Renegade + радиатор
537286,14611.00,Накопитель SSD Synology M.2 800GB PCIe
599623,11819.00,SSD Накопитель Kingston M.2 TB PCIe 4.0 NV3 (SNV3S/000G)
462208,928.00,SSD накопитель PATRIOT P300 256GB M.2 NVMe PCIe 3.0 x4 2280 (P300P256GM28)
485140,7250.00,Портативный SSD SanDisk 1TB Extreme Pro E81 Type-C (SDSSDE81-1T00-G25)
513802,14439.00,SSD накопитель Kingston M.2 NVMe PCIe 4.0 4x 4TB KC3000 2280 (SKC3000D/4096G)
632819,5621.00,Накопитель SSD APACER M.2 2TB PCIe 3.0 P4U (AP2TBAS2280P4U-1)
543273,0.00,"SSD накопитель KINGSTON 2.5"" 480GB SATA DC600M (SEDC600M/480G)"
487877,0.00,"SSD накопитель SAMSUNG 870 EVO 500GB 2.5"" SATA V-NAND (MZ-77E500BW)"
543272,0.00,"SSD накопитель KINGSTON 2.5"" 1.9TB SATA DC600M (SEDC600M/1920G)"
544403,0.00,"SSD накопитель KINGSTON 2.5"" 7.68TB SATA DC600M (SEDC600M/7680G)"
550326,0.00,"SSD накопитель SAMSUNG 2TB SATA V-NAND 2.5"" 3bit MLC 870 EVO (MZ-77E2T0B/EU)"
455785,2679.00,"SSD накопитель KINGSTON KC600 512GB 2.5"" SATAIII 3D NAND TLC (SKC600/512G)"
632832,5700.00,Накопитель SSD APACER M.2 2TB PCIe 4.0 Q4L (AP2TBAS2280Q4L-1)
504650,2699.00,SSD накопитель M.2 Kingston 512GB KC3000 NVMe PCIe 4.0 4x 2280 (SKC3000S/512G)
515821,3820.00,Портативный SSD Transcend 1TB USB 3.1 Gen 2 Type-C ESD270C (TS1TESD270C)
626460,7500.00,Портативный SSD Transcend 2TB USB 3.2 Gen 2x2 Type-C ESD360C Серый
475032,27824.00,"SSD накопитель SAMSUNG 870 QVO 8TB 2.5"" SATA V5 (9X Layer) QLC (MZ-77Q8T0BW)"
549290,4343.00,Портативный SSD Transcend 1TB USB 3.1 Gen 2 Type-C ESD300 Silver (TS1TESD300S)
481536,5380.00,Портативный SSD SanDisk 1TB Extreme V2 E61 Type-C (SDSSDE61-1T00-G25)
569824,20641.00,SSD накопитель LENOVO 1.92TB SATA 2.5/5400 PRO (4XB7A82261)
633076,2600.00,Накопитель SSD APACER M.2 1TB PCIe 4.0 Q4L (AP1TBAS2280Q4L-1)
543998,24129.00,"Накопитель SSD Kingston 2.5"" 3.84TB SATA DC600M (SEDC600M/3840G)"
549095,6809.00,Портативный SSD Samsung 1TB USB 3.2 Gen 2 1050 MB/s Beige T7 (MU-PE1T0K/EU)
552855,5900.00,Портативный SSD Transcend 2TB USB 3.1 Gen 2 Type-C ESD270C
450460,1001.00,"SSD накопитель GIGABYTE 240GB 2.5"" SATA TLC (GP-GSTFS31240GNTD)"
468248,1543.00,"SSD накопитель GIGABYTE 480GB 2.5"" SATA TLC (GP-GSTFS31480GNTD)"
487320,12200.00,Портативный SSD SanDisk 2TB Extreme Pro E81 Type-C (SDSSDE81-2T00-G25)
502856,1500.00,Портативный SSD Transcend 250GB USB 3.1 Gen 2 Type-C ESD270C (TS250GESD270C)
524382,4759.00,Портативный SSD Transcend 1TB USB 3.1 Gen 2 Type-C ESD260C (TS1TESD260C)
524390,2818.00,Портативный SSD Transcend 500GB USB 3.1 Gen 2 Type-C ESD260C (TS500GESD260C)
544408,6219.00,Портативный SSD M.2 ASUS TUF GAMING AS1000/BLK/G/AS USB-C 3.2 Gen 2x1 1TB (90DD02Q0-M09000)
549096,11850.00,Портативный SSD Samsung 2TB USB 3.2 Gen 2 1050 MB/s black T7 (MU-PE2T0S/EU)
549097,18100.00,Портативный SSD Samsung 4TB USB 3.2 Gen 2 1050 MB/s black T7 (MU-PE4T0S/EU)
549287,4343.00,Портативный SSD Transcend 1TB USB 3.1 Gen 2 Type-C ESD300 Blue (TS1TESD300C)
549288,8316.00,Портативный SSD Transcend 2TB USB 3.1 Gen 2 Type-C ESD300 Blue (TS2TESD300C)
549289,2495.00,Портативный SSD Transcend 512GB USB 3.1 Gen 2 Type-C ESD300 Silver (TS512GESD300S)
549291,8547.00,Портативный SSD Transcend 2TB USB 3.1 Gen 2 Type-C ESD300 Silver (TS2TESD300S)
549353,1848.00,Портативный SSD Transcend 256GB USB 3.1 Gen 2 Type-A/C ESD310 Black (TS256GESD310C)
557947,6560.00,Портативный SSD Samsung 1TB USB 3.2 Gen 2 Type-C Shield T7 (MU-PE1T0S/EU)
569902,10499.00,Портативный SSD ASUS TUF GAMING AS2000/BLK/G/AS PCIe NVMe M.2 2230/2242/2260/2280 USB Type-C 3.2 Gen 2x1 2TB
590425,3849.00,Портативный SSD Apacer 1TB USB 3.2 Gen 2x2 Type-C AS723
590443,2800.00,Портативный SSD Apacer 500GB USB 3.2 Gen 2x2 Type-C AS723
590446,7000.00,Портативный SSD Apacer 2TB USB 3.2 Gen 2x2 Type-C AS723
626522,3850.00,Портативный SSD Transcend 1TB USB 3.2 Gen 2x2 Type-C ESD360C Серый
632984,1800.00,Накопитель SSD APACER M.2 512GB PCIe Gen4 x4 Q4L (AP512GAS2280Q4L-1)
524395,0.00,Накопитель SSD Kingston M.2 1TB PCIe 4.0 NV2
525900,0.00,Накопитель SSD WD M.2 1TB PCIe 4.0 Black SN850X
552142,0.00,"SSD накопитель SAMSUNG 2.5"" 1TB SATA 870EVO (MZ-77E1T0B/EU)"
459972,0.00,"SSD накопитель KINGSTON KC600 2048GB 2.5"" SATA 3D TLC (SKC600/2048G)"
462219,0.00,SSD накопитель Kingston DC1000B 240GB M.2 NVMe PCIe 3.0 4x 2280 (SEDC1000BM8/240G)
472209,0.00,"SSD накопитель Patriot 2.5"" 512GB SATA TLC P210"
558232,0.00,SSD накопитель SAMSUNG M.2 2TB PCIe 4.0 990PRO (MZ-V9P2T0CW)
572116,0.00,SSD накопитель ADATA M.2 256GB PCIe 3.0 XPG LEGEND 710 (ALEG-710-256GCS)
518677,0.00,SSD накопитель PATRIOT PCIe 3.0 M.2 240GB P310 (P310P240GM28)
597426,0.00,SSD Накопитель Kingston M.2 480GB PCIe 4.0 DC2000B (SEDC2000BM8/480G)
407319,0.00,"SSD накопитель CRUCIAL MX500 500GB 2.5"" SATA (CT500MX500SSD1)"
407320,0.00,"SSD накопитель CRUCIAL MX500 1TB 2.5"" SATA (CT1000MX500SSD1)"
435118,0.00,SSD накопитель Transcend MTE110 1TB M.2 PCle 3.0 4x 2280 (TS1TMTE110S)
460067,0.00,"SSD накопитель WD Red 500GB 2.5"" SATA"
476257,0.00,SSD накопитель Team M.2 NVMe PCIe 3.0 x4 256GB MP34 2280 TLC (TM8FP4256G0C101)
484507,0.00,Портативный SSD Transcend 1TB USB 3.1 ESD370C Gen 2 Type-C Navy Blue (TS1TESD370C)
537374,0.00,SSD накопитель WD M.2 2TB PCIe 4.0 Black SN850X (WDS200T2X0E)
538256,0.00,SSD накопитель HPE SSD 960GB 2.5inch SATA RI BC MV
543274,0.00,SSD накопитель WD M.2 4TB PCIe 4.0 Black SN850X (WDS400T2X0E)
550318,0.00,"SSD Накопитель SAMSUNG 250GB SATA V-NAND 2.5"" 3bit MLC 870 EVO (MZ-77E250B/EU)"
619550,0.00,SSD накопитель Transcend M.2 256GB PCIe 3.0 (TS256GMTE672A-I)
445394,0.00,SSD накопитель TRANSCEND 230S 128GB mSATA 3D TLC (TS128GMSA230S)
457781,0.00,Портативный SSD накопитель ADATA USB 3.2 Gen2 Type-C SC680 240GB
468782,0.00,"SSD накопитель Intel 2.5"" S4510 960GB SATA TLC (SSDSC2KB960G801)"
